"Part";"Value";"Device";"Package";"Description";"ADD_LATCH";"MF";"MPN";"OC_FARNELL";"OC_NEWARK";"PROD_ID";"SPICEPREFIX";
"ADD_LATCH";"74HCT573N";"74HCT573N";"DIL20";"8-bit D latch BUS DRIVER";"";"";"";"";"";"";"";
"C8085";"0.1u";"C-EU025-024X044";"C025-024X044";"CAPACITOR, European symbol";"";"";"";"";"";"";"";
"CALAT";"0.1u";"C-EU025-024X044";"C025-024X044";"CAPACITOR, European symbol";"";"";"";"";"";"";"";
"CL1";"0.1u";"C-EU025-024X044";"C025-024X044";"CAPACITOR, European symbol";"";"";"";"";"";"";"";
"CL2";"0.1u";"C-EU025-024X044";"C025-024X044";"CAPACITOR, European symbol";"";"";"";"";"";"";"";
"CL3";"0.1u";"C-EU025-024X044";"C025-024X044";"CAPACITOR, European symbol";"";"";"";"";"";"";"";
"CLCD";"0.1u";"C-EU025-024X044";"C025-024X044";"CAPACITOR, European symbol";"";"";"";"";"";"";"";
"CNOT";"0.1u";"C-EU025-024X044";"C025-024X044";"CAPACITOR, European symbol";"";"";"";"";"";"";"";
"COR";"0.1u";"C-EU025-024X044";"C025-024X044";"CAPACITOR, European symbol";"";"";"";"";"";"";"";
"CPPIA";"0.1u";"C-EU025-024X044";"C025-024X044";"CAPACITOR, European symbol";"";"";"";"";"";"";"";
"CPPIB";"0.1u";"C-EU025-024X044";"C025-024X044";"CAPACITOR, European symbol";"";"";"";"";"";"";"";
"CRAM";"0.1u";"C-EU025-024X044";"C025-024X044";"CAPACITOR, European symbol";"";"";"";"";"";"";"";
"CROM";"0.1u";"C-EU025-024X044";"C025-024X044";"CAPACITOR, European symbol";"";"";"";"";"";"";"";
"CRST";"0.1u";"C2,5-3";"C2.5-3";"CAPACITOR";"";"";"";"";"";"";"";
"CSID";"0.1u";"C2,5-3";"C2.5-3";"CAPACITOR";"";"";"";"";"";"";"";
"CUSBC";"";"C-EU025-024X044";"C025-024X044";"CAPACITOR, European symbol";"";"";"";"";"";"";"";
"CUSBP";"10u";"CPOL-EUE5-8.5";"E5-8,5";"POLARIZED CAPACITOR, European symbol";"";"";"";"";"";"";"";
"CX";"0.1u";"C-EU025-024X044";"C025-024X044";"CAPACITOR, European symbol";"";"";"";"";"";"";"";
"HOLD";"10k";"R-EU_0204/7";"0204/7";"RESISTOR, European symbol";"";"";"";"";"";"";"R";
"IC1";"";"8085";"DIL40";"MICROCOMPUTER/PERIPHERAL DEVICE";"";"";"";"unknown";"unknown";"";"";
"IC6";"UDN2981A";"UDN2981A";"DIL18";"DRIVER ARRAY";"";"";"";"";"";"";"";
"IC7";"UDN2981A";"UDN2981A";"DIL18";"DRIVER ARRAY";"";"";"";"";"";"";"";
"IC8";"UDN2981A";"UDN2981A";"DIL18";"DRIVER ARRAY";"";"";"";"";"";"";"";
"INTR";"10k";"R-EU_0204/7";"0204/7";"RESISTOR, European symbol";"";"";"";"";"";"";"R";
"KEYPAD";"";"M08SILK_FEMALE_PTH";"1X08";"Header 8";"";"";"";"";"";"CONN-08438";"";
"LCD1";"";"16X2LCD";"16X2_LCD";"ALPHANUMERIC-LCD";"";"";"";"";"";"";"";
"LED@SOD";"";"LED3MM";"LED3MM";"LED";"";"";"";"";"";"";"";
"LED@USB";"LED5MM";"LED5MM";"LED5MM";"";"";"";"";"";"";"";"";
"LEDA";"TLUV5300";"TLUV5300";"TLUV5300";"Bicolor LED 5 mm Untinted Diffused Package";"";"";"";"";"";"";"";
"LEDB";"TLUV5300";"TLUV5300";"TLUV5300";"Bicolor LED 5 mm Untinted Diffused Package";"";"";"";"";"";"";"";
"LEDC";"TLUV5300";"TLUV5300";"TLUV5300";"Bicolor LED 5 mm Untinted Diffused Package";"";"";"";"";"";"";"";
"LEDD";"TLUV5300";"TLUV5300";"TLUV5300";"Bicolor LED 5 mm Untinted Diffused Package";"";"";"";"";"";"";"";
"LEDE";"TLUV5300";"TLUV5300";"TLUV5300";"Bicolor LED 5 mm Untinted Diffused Package";"";"";"";"";"";"";"";
"LEDF";"TLUV5300";"TLUV5300";"TLUV5300";"Bicolor LED 5 mm Untinted Diffused Package";"";"";"";"";"";"";"";
"LEDG";"TLUV5300";"TLUV5300";"TLUV5300";"Bicolor LED 5 mm Untinted Diffused Package";"";"";"";"";"";"";"";
"LEDH";"TLUV5300";"TLUV5300";"TLUV5300";"Bicolor LED 5 mm Untinted Diffused Package";"";"";"";"";"";"";"";
"LEDI";"TLUV5300";"TLUV5300";"TLUV5300";"Bicolor LED 5 mm Untinted Diffused Package";"";"";"";"";"";"";"";
"LEDJ";"TLUV5300";"TLUV5300";"TLUV5300";"Bicolor LED 5 mm Untinted Diffused Package";"";"";"";"";"";"";"";
"NOT_GATE";"74ALS04N";"74ALS04N";"DIL14";"Hex INVERTER";"";"";"";"";"";"";"";
